id_lançamento,período,acerto,valor
36,202408,1,-84.31
39,202408,1,-76.92
40,202408,1,-33.41
1,202408,0,4523.22
2,202408,0,1258.46
26,202408,0,2649.73
38,202408,0,-321.23
42,202408,0,-590.19
43,202408,0,-168.62
48,202408,0,-463.71
50,202408,0,-908.86
53,202408,0,-859.75
