12/31/15;1/31/16;2/29/16;3/31/16;4/30/16;5/31/16;6/30/16;7/31/16;8/31/16;9/30/16;10/31/16;11/30/16;12/31/16;1/31/17;2/28/17;3/31/17;4/30/17;5/31/17;6/30/17;7/31/17;8/31/17;9/30/17;10/31/17;11/30/17;12/31/17;1/31/18;2/28/18;3/31/18;4/30/18;5/31/18;6/30/18;7/31/18;8/31/18;9/30/18;10/31/18;11/30/18;12/31/18;1/31/19;2/28/19;3/31/19;4/30/19;5/31/19;6/30/19;7/31/19;8/31/19;9/30/19;10/31/19;11/30/19;12/31/19;1/31/20;2/29/20;3/31/20;4/30/20;5/31/20;6/30/20;7/31/20;8/31/20;9/30/20;10/31/20;11/30/20;12/31/20;1/31/21;2/28/21;3/31/21;4/30/21;5/31/21;6/30/21;7/31/21;8/31/21;9/30/21;10/31/21;11/30/21;12/31/21;1/31/22;2/28/22;3/31/22;4/30/22;5/31/22;6/30/22;7/31/22;8/31/22
KLBN11;MULT3;CMIG4;SUZB3;CMIG4;RENT3;CSAN3;CSAN3;CSAN3;CSAN3;CSAN3;BRML3;CMIG4;CSNA3;RAIL3;RENT3;RAIL3;RAIL3;QUAL3;EGIE3;EGIE3;SUZB3;QUAL3;QUAL3;QUAL3;QUAL3;CMIG4;CMIG4;CMIG4;CVCB3;YDUQ3;YDUQ3;EGIE3;SBSP3;CVCB3;CVCB3;CVCB3;YDUQ3;TIMS3;ELET3;ELET3;NTCO3;NTCO3;NTCO3;EGIE3;BPAC11;YDUQ3;CMIG4;NTCO3;CMIG4;CMIG4;NTCO3;EGIE3;CMIG4;IRBR3;CSAN3;TIMS3;ELET3;ELET3;HYPE3;CMIG4;TOTS3;HYPE3;TOTS3;SBSP3;CCRO3;ELET3;CCRO3;SANB11;CMIG4;UGPA3;BBSE3;SBSP3;BIDI11;HYPE3;CCRO3;AMER3;ASAI3;ELET6;ELET6;ELET6
LREN3;NTCO3;CSAN3;CSAN3;SUZB3;GGBR4;GGBR4;NTCO3;RAIL3;CSNA3;RENT3;CSAN3;CSAN3;CSAN3;CSAN3;CSAN3;MULT3;CMIG4;RAIL3;CMIG4;CMIG4;EGIE3;CMIG4;EGIE3;CMIG4;EGIE3;EGIE3;EGIE3;BRAP4;FLRY3;EGIE3;EGIE3;BRAP4;EGIE3;EGIE3;SBSP3;EGIE3;TIMS3;ELET6;TIMS3;CIEL3;ELET3;TIMS3;YDUQ3;ELET6;EGIE3;EGIE3;EGIE3;CMIG4;HYPE3;TIMS3;BRML3;COGN3;ELET3;PCAR3;ENGI11;TOTS3;TIMS3;SULA11;SULA11;TOTS3;HYPE3;SANB11;CCRO3;HYPE3;ELET3;PRIO3;HYPE3;BRAP4;ASAI3;CMIG4;BRKM5;HAPV3;CCRO3;EMBR3;SANB11;CSNA3;AMER3;CPLE6;EGIE3;ENGI11
MRFG3;OIBR3;MULT3;NTCO3;RENT3;MULT3;MULT3;BRKM5;NTCO3;NTCO3;FIBR3;SUZB3;SUZB3;RAIL3;FIBR3;CSNA3;CSAN3;SUZB3;SUZB3;YDUQ3;SUZB3;CMIG4;EGIE3;CMIG4;BRAP4;CMIG4;BRAP4;BRAP4;EGIE3;MGLU3;CVCB3;BRAP4;YDUQ3;CMIG4;BRAP4;YDUQ3;NTCO3;CVCB3;CVCB3;ELET6;NTCO3;KLBN11;BRKM5;TIMS3;TIMS3;ELET3;NTCO3;NTCO3;VIIA3;AMER3;BPAC11;CMIG4;IRBR3;CSAN3;TIMS3;TIMS3;ENGI11;EGIE3;ENGI11;CMIG4;ELET3;CMIG4;PCAR3;HYPE3;SANB11;HYPE3;CCRO3;PRIO3;CMIG4;ELET3;ELET3;CCRO3;BIDI11;BRKM5;BRKM5;ELET3;ASAI3;SANB11;SANB11;CPLE6;CPLE6
MRVE3;PCAR3;RENT3;RENT3;CSAN3;CMIG4;CSNA3;MULT3;CSNA3;FIBR3;RAIL3;RENT3;RENT3;RENT3;RENT3;MULT3;YDUQ3;NTCO3;CSAN3;MULT3;CSAN3;MULT3;MULT3;MULT3;CSAN3;BRAP4;QUAL3;MGLU3;MGLU3;BRAP4;BRAP4;CMIG4;CMIG4;FLRY3;YDUQ3;BRAP4;YDUQ3;ELET6;YDUQ3;YDUQ3;YDUQ3;TIMS3;ELET3;KLBN11;YDUQ3;YDUQ3;ELET3;KLBN11;EGIE3;TIMS3;EMBR3;COGN3;CSAN3;BPAC11;ELET3;CMIG4;EGIE3;ENGI11;BRAP4;AZUL4;ENGI11;AZUL4;SBSP3;AZUL4;CCRO3;CMIG4;SANB11;SANB11;HYPE3;BBSE3;CCRO3;BRAP4;CCRO3;ELET3;ELET3;ASAI3;ENGI11;BRKM5;EGIE3;ENGI11;EGIE3
MULT3;PETR3;YDUQ3;CSNA3;MULT3;CSNA3;YDUQ3;RAIL3;FIBR3;MULT3;NTCO3;RAIL3;RAIL3;ELET3;ELET3;NTCO3;NTCO3;CSAN3;MULT3;SUZB3;BRAP4;CSAN3;ELET3;BRAP4;MULT3;CSAN3;CSAN3;CSAN3;CSAN3;CMIG4;CMIG4;CVCB3;CVCB3;CVCB3;FLRY3;ELET3;BRAP4;VBBR3;NTCO3;VBBR3;ELET6;YDUQ3;YDUQ3;BRKM5;CSNA3;KLBN11;AMER3;TIMS3;TIMS3;KLBN11;KLBN11;CSAN3;CMIG4;COGN3;EGIE3;PCAR3;CMIG4;CSNA3;EGIE3;ELET3;SULA11;ENGI11;CCRO3;CMIG4;AMER3;SANB11;AZUL4;BBSE3;CCRO3;HYPE3;SANB11;SANB11;ELET3;SBSP3;BIDI11;BIDI11;CPLE6;TIMS3;CSNA3;SANB11;SANB11
NTCO3;PETR4;CSNA3;MULT3;NTCO3;NTCO3;NTCO3;FIBR3;QUAL3;RAIL3;MULT3;NTCO3;MULT3;SUZB3;MULT3;BRAP4;SUZB3;YDUQ3;BRAP4;CSAN3;MULT3;CSNA3;ELET6;CSAN3;NTCO3;CSNA3;ELET3;MULT3;MULT3;CSAN3;CSAN3;CSAN3;CSAN3;CSNA3;ELET3;NTCO3;AMER3;NTCO3;VBBR3;CVCB3;CVCB3;VBBR3;VBBR3;ELET6;KLBN11;TIMS3;KLBN11;ELET3;ELET3;EGIE3;AMER3;CRFB3;YDUQ3;PCAR3;CSAN3;EGIE3;COGN3;CMIG4;CMIG4;ENGI11;AZUL4;PCAR3;ELET3;AMER3;CMIG4;AZUL4;HYPE3;EMBR3;ELET3;CCRO3;BRAP4;ELET3;HYPE3;HYPE3;CPLE6;BRKM5;SANB11;CPLE6;TIMS3;TIMS3;TIMS3
OIBR3;QUAL3;GGBR4;MRVE3;RAIL3;RAIL3;SUZB3;YDUQ3;MULT3;YDUQ3;YDUQ3;MULT3;QUAL3;MULT3;SUZB3;SUZB3;QUAL3;MULT3;YDUQ3;BRAP4;NTCO3;NTCO3;CSAN3;ELET3;CSNA3;MULT3;ELET6;ELET3;QUAL3;NTCO3;NTCO3;QUAL3;CSNA3;CSAN3;MULT3;FLRY3;ELET3;AMER3;AMER3;NTCO3;VBBR3;ELET6;ELET6;VBBR3;AMER3;ELET6;TIMS3;AMER3;AMER3;PCAR3;EGIE3;YDUQ3;BRML3;SANB11;SANB11;SANB11;SANB11;BRAP4;TIMS3;TIMS3;TIMS3;SULA11;CMIG4;ELET3;AZUL4;BRKM5;AMER3;AZUL4;BBSE3;SANB11;ASAI3;SBSP3;SANB11;SANB11;SANB11;ENGI11;TIMS3;MGLU3;ENGI11;CSNA3;EMBR3
PCAR3;RADL3;ENBR3;YDUQ3;MRVE3;ENBR3;ENBR3;QUAL3;YDUQ3;SUZB3;QUAL3;YDUQ3;YDUQ3;YDUQ3;BRAP4;YDUQ3;CSNA3;BRAP4;NTCO3;CSNA3;CSNA3;ELET3;BRAP4;NTCO3;ELET3;NTCO3;USIM5;ELET6;NTCO3;QUAL3;QUAL3;CSNA3;MULT3;MULT3;ELET6;ELET6;MULT3;CSAN3;CSNA3;AMER3;CSAN3;CVCB3;CIEL3;CIEL3;CIEL3;AMER3;ELET6;VIIA3;KLBN11;EMBR3;HAPV3;ELET3;BPAC11;YDUQ3;CMIG4;TOTS3;PCAR3;SANB11;PCAR3;EGIE3;PCAR3;EGIE3;ENGI11;ASAI3;ELET3;SBSP3;EMBR3;CMIG4;SBSP3;SBSP3;SBSP3;ENGI11;ENGI11;CPLE6;ENGI11;CPLE6;EGIE3;EGIE3;BRKM5;BRKM5;CSNA3
PETR3;RENT3;MRVE3;QUAL3;QUAL3;QUAL3;RAIL3;ENBR3;ENBR3;QUAL3;SUZB3;QUAL3;NTCO3;BRAP4;YDUQ3;ELET3;ELET3;CSNA3;CSNA3;NTCO3;ELET6;BRAP4;NTCO3;ELET6;ELET6;USIM5;CSNA3;USIM5;USIM5;MULT3;MULT3;MULT3;NTCO3;NTCO3;AMER3;AMER3;ELET6;FLRY3;CSAN3;BRAP4;BRAP4;CIEL3;CVCB3;CSAN3;CVCB3;VIIA3;CSAN3;CSAN3;CSAN3;HAPV3;PCAR3;BPAC11;ELET3;BRML3;YDUQ3;YDUQ3;BRAP4;COGN3;QUAL3;PCAR3;EGIE3;TIMS3;CSAN3;ENGI11;ASAI3;EMBR3;CMIG4;SBSP3;AZUL4;BRAP4;HYPE3;HYPE3;TIMS3;ENGI11;TIMS3;EMBR3;BRKM5;ENGI11;EMBR3;AMER3;BRKM5
PETR4;RAIL3;QUAL3;ENBR3;YDUQ3;YDUQ3;QUAL3;SUZB3;SUZB3;CPLE6;CPLE6;GOAU4;BRAP4;NTCO3;QUAL3;QUAL3;MRVE3;ELET6;ELET6;MRVE3;ELET3;ELET6;CSNA3;USIM5;USIM5;MGLU3;MULT3;QUAL3;CSNA3;CSNA3;CSNA3;NTCO3;GOAU4;AMER3;CSNA3;MULT3;FLRY3;MULT3;MULT3;CSAN3;FLRY3;CSAN3;BRAP4;MULT3;CSAN3;CIEL3;CIEL3;CIEL3;CIEL3;ELET3;CSAN3;EMBR3;TOTS3;TOTS3;TOTS3;IRBR3;CSNA3;IRBR3;CSAN3;CSAN3;IRBR3;ELET3;TIMS3;BRKM5;USIM5;AMER3;SBSP3;ENGI11;ENGI11;VIIA3;VIIA3;TIMS3;ASAI3;TIMS3;ASAI3;TIMS3;EMBR3;ELET6;TAEE11;TAEE11;MGLU3
